ts,id,name,area,lat,lon,activity,peds,vehicles,lit,note
2026-06-05T16:46-04:00,ec9eda79-e250-4e6f-a8f6-e51021fb054f,Amsterdam Ave @ 60 St,Manhattan,40.771057,-73.987139,4,12,8,day,"Moderate midday foot traffic, mixed retail"
2026-06-05T16:46-04:00,053e8995-f8cb-4d02-a659-70ac7c7da5db,Broadway @ 45 St,Manhattan,40.757953,-73.98549,7,85,12,day,"Busy midtown Manhattan, good foot traffic"
2026-06-05T16:46-04:00,09b1235e-d2d1-4451-83a5-5a1c3ec280aa,St Nicholas Ave @ 145 St,Manhattan,40.824031,-73.94477,2,3,12,day,"Quiet weekday morning, minimal pedestrian activity"
2026-06-05T16:46-04:00,ec9ffb62-e3bf-4352-8bcf-7c9adf5fbe9c,8th Ave @ 31st St,Manhattan,40.750297,-73.99483,6,25,8,day,"Steady foot traffic, Times Square area"
2026-06-05T16:46-04:00,f06979b2-3497-4330-9882-a06c8a442b7c,6 Ave @ 34 St,Manhattan,40.749808,-73.987746,6,45,8,day,"Steady midday foot traffic, busy crosswalk"
2026-06-05T16:46-04:00,e229e0fd-559b-4c1e-bcba-ac23db1d01e3,6 Ave @ 57 St,Manhattan,40.7643348872061,-73.9772018595711,4,8,7,day,"Moderate foot traffic, typical midday street"
2026-06-05T16:46-04:00,6d3a21dd-0434-4d92-a0d1-3ca8b77297db,5 Ave @ E 58 St,Manhattan,40.763753,-73.973548,5,12,8,day,Steady midday urban foot traffic
2026-06-05T16:46-04:00,23bcc0dd-d395-45fe-8106-676ba7293208,Varick St @ Watt St,Manhattan,40.72379,-74.006138,4,12,8,day,"Moderate midday foot traffic, calm block"
2026-06-05T16:46-04:00,08328372-55a2-448a-b180-9b4bce0b8d9e,Broadway @ Morris St,Manhattan,40.70589,-74.0133,7,45,8,day,"Busy midtown street, steady pedestrian flow"
2026-06-05T16:46-04:00,83655dbc-7902-4fdb-926c-15fee4396b83,Broadway @ 38 St,Manhattan,40.752453,-73.987123,4,12,8,day,"Moderate foot traffic, typical midday"
2026-06-05T16:46-04:00,5d055599-875a-4010-991f-e7e454889052,7 Ave @ 40 St,Manhattan,40.754746,-73.987894,6,45,3,day,"Steady crosswalk traffic, busy intersection"
